# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageLoadsUs,1733148101675000000,1733148110413000000,193332
FilePageCache.maxRegisteredFiles,1733148101675000000,1733148110413000000,529
StorageLockContext.competingThreads.avg,1733148101675000000,1733148110413000000,0.375
FilePageCacheLockFree.totalNativeBytesAllocated,1733148101675000000,1733148110413000000,16384
FilePageCache.pageLoadsAboveSizeThreshold,1733148101675000000,1733148110413000000,0
FilePageCacheLockFree.totalBytesWritten,1733148101675000000,1733148110413000000,24
FilePageCacheLockFree.totalPagesAllocated,1733148101675000000,1733148110413000000,2
FilePageCache.maxCacheSizeInBytes,1733148101675000000,1733148110413000000,199229440
MappedFileStorage.totalPagesMapped,1733148101675000000,1733148110413000000,0
FilePageCacheLockFree.totalBytesRead,1733148101675000000,1733148110413000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1733148101675000000,1733148110413000000,16384
MappedFileStorage.totalTimeSpentOnMappingUs,1733148101675000000,1733148110413000000,683382
FilePageCacheLockFree.totalHeapBytesReclaimed,1733148101675000000,1733148110413000000,0
StorageLockContext.competingThreads.90P,1733148101675000000,1733148110413000000,0
FilePageCache.pageFastCacheHits,1733148101675000000,1733148110413000000,13396
FilePageCache.pageLoads,1733148101675000000,1733148110413000000,193
FileChannelInterruptsRetryer.totalRetriedAttempts,1733148101675000000,1733148110413000000,0
FilePageCacheLockFree.totalPagesHandedOver,1733148101675000000,1733148110413000000,0
DirectByteBufferAllocator.hits,1733148101675000000,1733148110413000000,3
workspaceModel.updates.precise.ms,1733148101675000000,1733148110413000000,0
workspaceModel.loading.from.cache.ms,1733148101675000000,1733148110413000000,14
workspaceModel.update.unloaded.entities.ms,1733148101675000000,1733148110413000000,0
workspaceModel.updates.ms,1733148101675000000,1733148110413000000,0
workspaceModel.pre.handlers.ms,1733148101675000000,1733148110413000000,0
workspaceModel.loading.total.ms,1733148101675000000,1733148110413000000,22
workspaceModel.init.bridges.ms,1733148101675000000,1733148110413000000,0
workspaceModel.replace.project.model.ms,1733148101675000000,1733148110413000000,0
workspaceModel.collect.changes.ms,1733148101675000000,1733148110413000000,0
workspaceModel.initializing.ms,1733148101675000000,1733148110413000000,0
workspaceModel.to.snapshot.ms,1733148101675000000,1733148110413000000,0
workspaceModel.updates.count,1733148101675000000,1733148110413000000,0
workspaceModel.check.recursive.update.ms,1733148101675000000,1733148110413000000,0
